Learning Path ID,Learning Path,Learning Path Summary,Course ID,Course Name,Course Summary,Price,,Level,Total Jam Belajar,Rating,Jumlah Enrollment,Jumlah Modul/Tutorial
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,0,Dasar,50,4.84,67917,132
,,,51,Belajar Membuat Aplikasi Android untuk Pemula,"Buat aplikasi pertamamu pada Android Studio dengan mempelajari dasar Activity, Intent, View & ViewGroup, Style & Theme sampai RecyclerView.",Berbayar,1,Pemula,60,4.87,124238,49
,,,14,Belajar Fundamental Aplikasi Android,"Pelajari skill Android dengan kurikulum terlengkap yang dibutuhkan perusahaan. Mulai dari UI/UX, background process, API sampai database.",Berbayar,4,Menengah,140,4.84,43198,107
,,,352,Belajar Pengembangan Aplikasi Android Intermediate,"Tingkatkan pengalaman pengguna dengan mempelajari Custom View, Animation, Localization, Media, Location, Testing, dan Advanced Database.",Berbayar,2,Mahir,150,4.82,8262,115
,,,169,Belajar Prinsip Pemrograman SOLID,Pelajari kelima prinsip desain yang merupakan pedoman untuk rancangan kode yang baik pada pemrograman berorientasi objek (OOP).,Gratis,4,Menengah,15,4.87,42090,41
,,,165,Menjadi Android Developer Expert,"Saatnya menjadi Android Expert dengan belajar Clean Architecture, Reactive, Dependency Injection, Modularization, Performance, dan Security.",Berbayar,3,Profesional,90,4.79,6244,86
41,Back-End Developer JavaScript,Kurikulum disusun oleh Dicoding bersama AWS beserta pelaku industri Back-End Development. Siswa dipersiapkan untuk menjadi Back-End Developer dengan JavaScript sesuai kebutuhan industri.,251,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),"Pelajari materi dasar Cloud dengan menggunakan AWS, dari konsep cloud computing, hingga cara membangun arsitektur yang baik.",Berbayar,0,Dasar,15,4.81,193221,87
,,,256,Belajar Dasar Pemrograman JavaScript,"Pelajari dasar JavaScript, dari fundamental, sintaks dan fitur ES6, hingga konsep automation test menggunakan framework populer.",Berbayar,0,Dasar,46,4.86,187845,111
,,,261,Belajar Back-End Pemula dengan JavaScript,"Pelajari dasar dalam membangun RESTful API, dari HTTP server, routing, hingga membangun Back-End untuk aplikasi yang nyata.",Berbayar,1,Pemula,45,4.9,120245,114
,,,266,Architecting on AWS (Membangun Arsitektur Cloud di AWS),"Pelajari cara membangun arsitektur cloud di AWS, dari yang sederhana dengan Amazon S3 hingga yang canggih dengan teknologi serverless.",Berbayar,4,Menengah,40,4.84,14087,170
,,,610,Menjadi Node.js Application Developer,Pelajari core module Node.js secara mendalam agar mampu membangun aplikasi untuk berbagai tujuan dengan menggunakan JavaScript.,Berbayar,4,Menengah,57,4.8,957,155
,,,271,Belajar Fundamental Back-End dengan JavaScript,"Pelajari teknologi dalam membangun RESTful API yang canggih seperti Database, Storage, hingga Authentication dan Authorization.",Berbayar,4,Menengah,90,4.9,6691,189
,,,276,Menjadi Back-End Developer Expert dengan JavaScript,"Pelajari teknik Automation Testing, Clean Architecture, CI/CD, Security, dan Scalability dalam membangun RESTful API berskala industri.",Berbayar,2,Mahir,82,4.9,3640,116
60,Data Scientist,Kurikulum lengkap yang didesain oleh tim expert Dicoding bersama para praktisi industri. Siswa dipersiapkan untuk menjadi seorang Data Scientist berstandar global.,615,Belajar Dasar Data Science,Pelajari dasar data science mulai dari pengenalan data hingga membuat portofolio untuk mengantarkan Anda menjadi seorang data scientist.,Berbayar,0,Dasar,11,4.83,50848,50
,,,600,Belajar Dasar Structured Query Language (SQL),Pelajari berbagai konsep dasar structured query language (SQL) mulai dari pengenalan data dan basis data hingga berlatih basic query.,Berbayar,0,Dasar,11,4.87,68334,44
,,,86,Memulai Pemrograman dengan Python,Pelajari dasar pemrograman Python hingga library populer yang menjadi landasan tren industri seperti data science dan machine learning.,Berbayar,0,Dasar,35,4.8,139487,91
